Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross
1,The Dark Knight,7/18/2008,Warner Bros.,Action/Adventure,PG-13,531001578,73955652,531001581
2,Iron Man,5/2/2008,Paramount Pictures,Action/Adventure,PG-13,318412101,44347089,318412099
3,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,Paramount Pictures,Action/Adventure,PG-13,317101119,44164501,317101117
4,Hancock,7/2/2008,Sony Pictures,Action/Adventure,PG-13,227946274,31747392,227946275
5,WALL-E,6/27/2008,Buena Vista,Comedy,G,223806889,31170876,223806890
6,Kung Fu Panda,6/6/2008,Paramount Pictures,Action/Adventure,PG,215434591,30004818,215434593
7,Madagascar: Escape 2 Africa,11/7/2008,Paramount Pictures,Comedy,PG,177016810,24654152,177016811
8,Twilight,11/21/2008,Summit Entertainment,Drama/Musical,PG-13,176922850,24641065,176922847
9,Quantum of Solace,11/14/2008,Sony Pictures,Action/Adventure,PG-13,166820413,23234041,166820414
10,Horton Hears a Who,3/14/2008,20th Century Fox,Action/Adventure,G,154529439,21522206,154529439
11,Sex and the City,5/30/2008,Warner Bros.,Comedy,R,152647258,21260064,152647260
12,Mamma Mia!,7/18/2008,Universal,Drama/Musical,PG-13,144130063,20073825,144130064
13,Juno,12/5/2007,Fox Searchlight,Comedy,PG-13,143495265,19985413,143495265
14,The Chronicles of Narnia: Prince Caspian,5/16/2008,Buena Vista,Action/Adventure,PG,141621490,19724442,141621494
15,The Incredible Hulk,6/13/2008,Universal,Action/Adventure,PG-13,134806913,18775336,134806912
16,Wanted,6/27/2008,Universal,Action/Adventure,R,134508551,18733781,134508548
17,Get Smart,6/20/2008,Warner Bros.,Comedy,PG-13,130319208,18150308,130319211
18,Four Christmases,11/26/2008,Warner Bros.,Comedy,PG-13,118189834,16460980,118189836
19,Tropic Thunder,8/13/2008,Paramount Pictures,Comedy,R,110515313,15392105,110515314
20,Bolt,11/21/2008,Buena Vista,Comedy,PG,109917145,15308795,109917148
21,Marley & Me,12/25/2008,20th Century Fox,Comedy,PG,106664046,14855717,106664048
22,The Mummy: Tomb of the Dragon Emperor,8/1/2008,Universal,Action/Adventure,PG-13,102491776,14274621,102491779
23,Journey to the Center of the Earth,7/11/2008,Warner Bros.,Action/Adventure,PG,101704370,14164954,101704370
24,Eagle Eye,9/26/2008,Paramount Pictures,Thriller/Suspense,PG-13,101401695,14122799,101401697
25,Step Brothers,7/25/2008,Sony Pictures,Comedy,R,100468793,13992868,100468792
26,You Don't Mess With the Zohan,6/6/2008,Sony Pictures,Comedy,PG-13,100018837,13930200,100018836
27,"10,000 B.C.",3/7/2008,Warner Bros.,Action/Adventure,PG-13,94784201,13201142,94784200
28,Beverly Hills Chihuahua,10/3/2008,Buena Vista,Comedy,PG,93778953,13061136,93778956
29,The Bucket List,12/25/2007,Warner Bros.,Comedy,PG-13,92588080,12895276,92588082
30,High School Musical 3: Senior Year,10/24/2008,Buena Vista,Drama/Musical,G,90224290,12566057,90224289
31,The Pineapple Express,8/6/2008,Sony Pictures,Comedy,R,87341380,12164538,87341383
32,Bedtime Stories,12/25/2008,Buena Vista,Comedy,PG,85539168,11913533,85539167
33,21,3/28/2008,Sony Pictures,Thriller/Suspense,PG-13,81159365,11303533,81159367
34,What Happens in Vegas...,5/9/2008,20th Century Fox,Comedy,PG-13,80277646,11180731,80277649
35,Jumper,2/14/2008,20th Century Fox,Action/Adventure,PG-13,80172128,11166035,80172131
36,Cloverfield,1/18/2008,Paramount Pictures,Action/Adventure,PG-13,80048433,11148807,80048434
37,Yes Man,12/19/2008,Warner Bros.,Comedy,PG-13,79507388,11073452,79507385
38,The Curious Case of Benjamin Button,12/25/2008,Paramount Pictures,Drama/Musical,PG-13,79297086,11044162,79297083
39,National Treasure: The Book of Secrets,12/21/2007,Buena Vista,Action/Adventure,PG,77018263,10726778,77018266
40,27 Dresses,1/18/2008,20th Century Fox,Comedy,PG-13,76808654,10697584,76808653
41,Hellboy 2: The Golden Army,7/11/2008,Universal,Action/Adventure,PG-13,75986503,10583078,75986500
42,The Day the Earth Stood Still,12/12/2008,20th Century Fox,Action/Adventure,PG-13,74424256,10365495,74424254
43,Vantage Point,2/22/2008,Sony Pictures,Thriller/Suspense,PG-13,72266306,10064945,72266305
44,The Spiderwick Chronicles,2/14/2008,Paramount Pictures,Action/Adventure,PG,71195053,9915746,71195056
45,Fool's Gold,2/8/2008,Warner Bros.,Action/Adventure,PG-13,70231041,9781482,70231041
46,Role Models,11/7/2008,Universal,Comedy,R,66703740,9290214,66703737
47,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,2/1/2008,Buena Vista,Documentary,G,65281781,9092170,65281781
48,The Happening,6/13/2008,20th Century Fox,Thriller/Suspense,R,64506874,8984244,64506872
49,Alvin and the Chipmunks,12/14/2007,20th Century Fox,Comedy,,63694531,8871105,63694534
50,Forgetting Sarah Marshall,4/18/2008,Universal,Comedy,R,63172463,8798393,63172462
51,Valkyrie,12/25/2008,United Artists,Thriller/Suspense,PG-13,60691979,8452922,60691980
52,Baby Mama,4/25/2008,Universal,Comedy,PG-13,60494212,8425378,60494214
53,Burn After Reading,9/12/2008,Focus Features,Comedy,R,60355347,8406037,60355346
54,Seven Pounds,12/19/2008,Sony Pictures,Drama/Musical,PG-13,60147298,8377061,60147298
55,Step Up 2 the Streets,2/14/2008,Buena Vista,Drama/Musical,PG-13,58017783,8080471,58017782
56,Saw V,10/24/2008,Lionsgate,Horror,R,56746769,7903450,56746771
57,The Strangers,5/30/2008,Focus Features,Thriller/Suspense,R,52597610,7325572,52597607
58,The Forbidden Kingdom,4/18/2008,Lionsgate,Action/Adventure,PG-13,52075270,7252823,52075269
59,I am Legend,12/14/2007,Warner Bros.,Horror,PG-13,50263436,7000479,50263439
60,The House Bunny,8/22/2008,Sony Pictures,Comedy,PG-13,48237389,6718299,48237387
61,Nim's Island,4/4/2008,20th Century Fox,Action/Adventure,PG,48006762,6686179,48006765
62,Australia,11/26/2008,20th Century Fox,Drama/Musical,PG-13,46686713,6502328,46686715
63,Made of Honor,5/2/2008,Sony Pictures,Comedy,PG-13,46012734,6408459,46012736
64,College Road Trip,3/7/2008,Buena Vista,Comedy,G,45610425,6352427,45610426
65,The Sisterhood of the Traveling Pants 2,8/6/2008,Warner Bros.,Action/Adventure,PG-13,44089964,6140664,44089968
66,Speed Racer,5/9/2008,Warner Bros.,Action/Adventure,PG,43945766,6120580,43945764
67,Prom Night,4/11/2008,Sony/Screen Gems,Horror,PG-13,43869350,6109937,43869348
68,The Tale of Despereaux,12/19/2008,Universal,Action/Adventure,G,43661775,6081027,43661774
69,Rambo,1/25/2008,Lionsgate,Action/Adventure,R,42754105,5954611,42754107
70,Welcome Home Roscoe Jenkins,2/8/2008,Universal,Comedy,PG-13,42436517,5910378,42436514
71,Meet the Browns,3/21/2008,Lionsgate,Comedy,PG-13,41975388,5846154,41975386
72,Nights in Rodanthe,9/26/2008,Warner Bros.,Drama/Musical,PG-13,41802381,5822059,41802384
73,Max Payne,10/17/2008,20th Century Fox,Action/Adventure,PG-13,40677229,5665352,40677227
74,Righteous Kill,9/12/2008,Overture Films,Thriller/Suspense,R,40081410,5582369,40081409
75,There Will Be Blood,12/26/2007,Paramount Vantage,Drama/Musical,R,39795491,5542547,39795487
76,Body of Lies,10/10/2008,Warner Bros.,Thriller/Suspense,R,39315385,5475680,39315382
77,Lakeview Terrace,9/19/2008,Sony/Screen Gems,Thriller/Suspense,PG-13,39263506,5468455,39263507
78,Meet the Spartans,1/25/2008,20th Century Fox,Comedy,PG-13,38233676,5325025,38233680
79,Harold & Kumar Escape from Guantanamo Bay,4/25/2008,Warner Bros.,Comedy,R,38108728,5307622,38108726
80,Atonement,12/7/2007,Focus Features,Drama/Musical,R,37979097,5289568,37979098
81,First Sunday,1/11/2008,Sony/Screen Gems,Comedy,PG-13,37931869,5282990,37931868
82,The Secret Life of Bees,10/17/2008,Fox Searchlight,Drama/Musical,PG-13,37525311,5226366,37525308
83,The Family That Preys,9/12/2008,Lionsgate,Comedy,PG-13,37105289,5167868,37105292
84,Death Race,8/22/2008,Universal,Action/Adventure,R,36316032,5057943,36316031
85,Changeling,10/24/2008,Universal,Thriller/Suspense,R,35707327,4973165,35707325
86,Star Wars: The Clone Wars,8/15/2008,Warner Bros.,Action/Adventure,PG,35161554,4897152,35161551
87,Semi-Pro,2/29/2008,New Line,Comedy,R,33479698,4662911,33479701
88,Fireproof,9/26/2008,Samuel Goldwyn Films,Drama/Musical,PG,33256544,4631831,33256547
89,No Country for Old Men,11/9/2007,Miramax,Action/Adventure,R,33205061,4624660,33205059
90,Drillbit Taylor,3/21/2008,Paramount Pictures,Comedy,PG-13,32862104,4576895,32862106
91,"Definitely, Maybe",2/14/2008,Universal,Comedy,PG-13,32241649,4490480,32241646
92,The Love Guru,6/20/2008,Paramount Pictures,Comedy,PG-13,32235793,4489665,32235795
93,Transporter 3,11/26/2008,Lionsgate,Action/Adventure,PG-13,31715062,4417140,31715065
94,Quarantine,10/10/2008,Sony/Screen Gems,Horror,R,31691811,4413901,31691809
95,Nick and Norah's Infinite Playlist,10/3/2008,Sony Pictures,Drama/Musical,PG-13,31487293,4385417,31487294
96,The Eye,2/1/2008,Lionsgate,Thriller/Suspense,PG-13,31418697,4375863,31418696
97,Leatherheads,4/4/2008,Universal,Comedy,PG-13,31373938,4369629,31373936
98,Zack and Miri Make a Porno,10/31/2008,Weinstein Co.,Comedy,R,31300810,4359444,31300808
99,Mirrors,8/15/2008,20th Century Fox,Horror,R,30691439,4274574,30691441
100,Space Chimps,7/18/2008,20th Century Fox,Action/Adventure,G,30105968,4193032,30105970
101,The Bank Job,3/7/2008,Lionsgate,Thriller/Suspense,R,30060660,4186721,30060657
102,Untraceable,1/25/2008,Sony/Screen Gems,Thriller/Suspense,R,28687835,3995520,28687834
103,Slumdog Millionaire,11/12/2008,Fox Searchlight,Drama/Musical,R,28676598,3993955,28676597
104,The Women,9/12/2008,Picturehouse,Comedy,PG-13,26902075,3746807,26902074
105,One Missed Call,1/4/2008,Warner Bros.,Horror,PG-13,26890041,3745131,26890041
106,The Other Boleyn Girl,2/29/2008,Sony Pictures,Drama/Musical,PG-13,26814957,3734674,26814959
107,Street Kings,4/11/2008,Fox Searchlight,Thriller/Suspense,R,26418667,3679480,26418666
108,Shutter,3/21/2008,20th Century Fox,Horror,PG-13,25928550,3611219,25928552
109,Superhero Movie,3/28/2008,MGM,Comedy,PG-13,25874034,3603626,25874035
110,"P.S., I Love You",12/21/2007,Warner Bros.,Comedy,PG-13,25794246,3592513,25794243
111,W.,10/17/2008,Lionsgate,Drama/Musical,PG-13,25534493,3556336,25534492
112,Charlie Wilson's War,12/21/2007,Universal,Drama/Musical,R,24957785,3476015,24957788
113,Never Back Down,3/14/2008,Summit Entertainment,Action/Adventure,PG-13,24850922,3461131,24850921
114,Traitor,8/27/2008,Overture Films,Thriller/Suspense,PG-13,23530831,3277275,23530835
115,Vicky Cristina Barcelona,8/15/2008,MGM,Comedy,PG-13,22830692,3179762,22830691
116,Babylon A.D.,8/29/2008,20th Century Fox,Action/Adventure,PG-13,22532572,3138241,22532570
117,Sweeney Todd: The Demon Barber of Fleet Street,12/21/2007,Paramount Pictures,Drama/Musical,R,22288215,3104208,22288213
118,The X-Files: I Want to Believe,7/25/2008,20th Century Fox,Action/Adventure,PG-13,20982478,2922351,20982480
119,Mad Money,1/18/2008,Overture Films,Comedy,PG-13,20668843,2878669,20668843
120,Appaloosa,9/19/2008,Warner Bros.,Drama/Musical,R,20080574,2796737,20080572
121,Igor,9/19/2008,MGM,Comedy,PG,19486744,2714031,19486743
122,My Best Friend's Girl,9/19/2008,Lionsgate,Comedy,R,19219250,2676776,19219252
123,The Water Horse: Legend of the Deep,12/25/2007,Sony Pictures,Drama/Musical,PG,18731137,2608793,18731134
124,Doubt,12/12/2008,Miramax,Drama/Musical,PG-13,18705481,2605220,18705480
125,The Spirit,12/25/2008,Lionsgate,Action/Adventure,PG-13,17743738,2471273,17743740
126,Kit Kittredge: An American Girl,6/20/2008,Picturehouse,Drama/Musical,G,17657973,2459328,17657975
127,The Ruins,4/4/2008,Paramount Pictures,Horror,R,17432844,2427973,17432846
128,Milk,11/26/2008,Focus Features,Drama/Musical,R,17157994,2389693,17157996
129,88 Minutes,4/18/2008,Sony Pictures,Thriller/Suspense,R,16930884,2358062,16930885
130,Swing Vote,8/1/2008,Buena Vista,Comedy,PG-13,16289867,2268784,16289869
131,Pride and Glory,10/24/2008,Warner Bros.,Drama/Musical,R,15740721,2192301,15740721
132,Bangkok Dangerous,9/5/2008,Lionsgate,Action/Adventure,R,15279680,2128089,15279679
133,Sea Monsters: A Prehistoric Adventure,10/5/2007,National Geographic,Documentary,Not Rated,14710283,2048786,14710283
134,Disaster Movie,8/29/2008,Lionsgate,Comedy,PG-13,14190901,1976449,14190904
135,The Duchess,9/19/2008,Paramount Vantage,Drama/Musical,PG-13,13848978,1928827,13848978
136,Enchanted,11/21/2007,Buena Vista,Comedy,PG,13793851,1921149,13793850
137,The Great Debaters,12/25/2007,Weinstein Co.,Drama/Musical,PG-13,13791114,1920768,13791114
138,The Haunting of Molly Hartley,10/31/2008,Freestyle Releasing,Thriller/Suspense,PG-13,13442412,1872202,13442410
139,Ghost Town,9/19/2008,Paramount Pictures,Comedy,PG-13,13367624,1861786,13367623
140,Religulous,10/1/2008,Lionsgate,Documentary,R,13011160,1812139,13011158
141,The Pirates Who Don't Do Anything: A VeggieTales Movie,1/11/2008,Universal,Comedy,G,12981269,1807976,12981268
142,Under the Same Moon,3/19/2008,Weinstein Co.,Drama/Musical,PG-13,12590147,1753502,12590144
143,Fly Me To the Moon,8/15/2008,Summit Entertainment,Action/Adventure,G,12564415,1749919,12564418
144,Miss Pettigrew Lives for a Day,3/7/2008,Focus Features,Comedy,PG-13,12313694,1714999,12313693
145,Soul Men,11/7/2008,MGM,Comedy,R,12024598,1674735,12024597
146,Meet Dave,7/11/2008,20th Century Fox,Comedy,PG,11803254,1643907,11803252
147,The Longshots,8/22/2008,MGM,Drama/Musical,PG,11511323,1603248,11511321
148,His Dark Materials: The Golden Compass,12/7/2007,New Line,Action/Adventure,PG-13,11332392,1578328,11332395
149,Aliens vs. Predator - Requiem,12/25/2007,20th Century Fox,Action/Adventure,R,11311743,1575452,11311745
150,Be Kind Rewind,2/22/2008,New Line,Comedy,PG-13,11175164,1556430,11175167
151,Doomsday,3/14/2008,Universal,Action/Adventure,R,11008770,1533255,11008771
152,Stop-Loss,3/28/2008,Paramount Pictures,Drama/Musical,R,10915744,1520299,10915747
153,Space Station,4/19/2002,IMAX Films,Documentary,Not Rated,10904400,1518719,10904402
154,Rachel Getting Married,10/3/2008,Sony Pictures Classics,Drama/Musical,R,10307424,1435574,10307421
155,Penelope,2/29/2008,Summit Entertainment,Drama/Musical,PG,10011996,1394428,10011993
156,Michael Clayton,10/5/2007,Warner Bros.,Drama/Musical,R,9866490,1374163,9866490
157,Gran Torino,12/12/2008,Warner Bros.,Drama/Musical,R,9820554,1367765,9820553
158,The Express,10/10/2008,Universal,Drama/Musical,PG,9793406,1363984,9793405
159,U2 3D,1/23/2008,National Geographic,Documentary,G,9674438,1347415,9674440
160,Smart People,4/11/2008,Miramax,Comedy,R,9511289,1324692,9511289
161,The Visitor,4/11/2008,Overture Films,Comedy,PG-13,9427026,1312956,9427024
162,The Kite Runner,12/14/2007,Paramount Vantage,Drama/Musical,PG-13,9372753,1305397,9372750
163,The Boy in the Striped Pyjamas,11/7/2008,Miramax,Drama/Musical,PG-13,8854137,1233167,8854139
164,Sex Drive,10/17/2008,Summit Entertainment,Comedy,R,8402485,1170263,8402488
165,Cadillac Records,12/5/2008,Sony Pictures,Drama/Musical,R,8134217,1132899,8134215
166,Punisher: War Zone,12/5/2008,Lionsgate,Action/Adventure,R,8050977,1121306,8050977
167,Miracle at St. Anna,9/26/2008,Buena Vista,Drama/Musical,R,7916887,1102631,7916891
168,City of Ember,10/10/2008,20th Century Fox,Action/Adventure,PG,7862312,1095030,7862315
169,In Bruges,2/8/2008,Focus Features,Comedy,R,7800825,1086466,7800826
170,Expelled: No Intelligence Allowed,4/18/2008,Rocky Mountain Pictures,Documentary,PG,7720487,1075277,7720489
171,Over Her Dead Body,2/1/2008,New Line,Comedy,PG-13,7570127,1054335,7570125
172,Nothing Like the Holidays,12/12/2008,Overture Films,Comedy,PG-13,7405784,1031446,7405782
173,How She Move,1/25/2008,Paramount Vantage,Drama/Musical,PG-13,7070641,984769,7070641
174,An American Carol,10/3/2008,Vivendi Entertainment,Comedy,PG-13,7013191,976768,7013194
175,The Orphanage,12/28/2007,Picturehouse,Horror,R,6821123,950017,6821122
176,Strange Wilderness,2/1/2008,Paramount Vantage,Comedy,R,6575282,915777,6575279
177,Brideshead Revisited,7/25/2008,Miramax,Drama/Musical,PG-13,6432256,895857,6432253
178,The Rocker,8/20/2008,20th Century Fox,Comedy,PG-13,6409528,892692,6409529
179,Frost/Nixon,12/5/2008,Universal,Drama/Musical,R,6291176,876208,6291173
180,Tell No One,7/2/2008,Music Box Films,Thriller/Suspense,Not Rated,6137968,854870,6137967
181,"Run, Fat Boy, Run",3/28/2008,Picturehouse,Comedy,PG-13,6003262,836109,6003263
182,Mongol,6/6/2008,Picturehouse,Drama/Musical,R,5705761,794674,5705759
183,RocknRolla,10/8/2008,Warner Bros.,Action/Adventure,R,5700626,793959,5700626
184,Shine a Light,4/4/2008,Paramount Vantage,Documentary,R,5505267,766750,5505265
185,The Counterfeiters,2/22/2008,Sony Pictures Classics,Drama/Musical,R,5488570,764425,5488572
186,Magnificent Desolation,9/23/2005,IMAX Films,Documentary,Not Rated,5355159,745844,5355160
187,Dolphins and Whales Tribes of the Ocean 3D,2/15/2008,3D Entertainment,Documentary,Not Rated,5243604,730307,5243604
188,The Diving Bell and the Butterfly,11/30/2007,Miramax,Drama/Musical,PG-13,5107379,711334,5107378
189,Hamlet 2,8/22/2008,Focus Features,Comedy,R,4886216,680531,4886213
190,In the Name of the King: A Dungeon Siege Tale,1/11/2008,Freestyle Releasing,Action/Adventure,PG-13,4775656,665133,4775655
191,College,8/29/2008,MGM,Comedy,R,4694491,653829,4694492
192,The Savages,11/28/2007,Fox Searchlight,Drama/Musical,R,4654390,648244,4654392
193,Deception,4/25/2008,20th Century Fox,Thriller/Suspense,R,4598506,640460,4598503
194,Flash of Genius,10/3/2008,Universal,Drama/Musical,PG-13,4442377,618715,4442374
195,Passchendaele,10/24/2008,Alliance Atlantis,Drama/Musical,Not Rated,4435251,617723,4435251
196,Persepolis,12/25/2007,Sony Pictures Classics,Drama/Musical,PG-13,4280031,596105,4280034
197,Witless Protection,2/22/2008,Lionsgate,Comedy,PG-13,4151836,578250,4151835
198,Walk Hard: The Dewey Cox Story,12/21/2007,Sony Pictures,Comedy,R,4072431,567191,4072431
199,Bottle Shock,8/6/2008,Freestyle Releasing,Drama/Musical,PG-13,4048523,563861,4048522
200,Young @ Heart,4/9/2008,Fox Searchlight,Documentary,PG,3992189,556015,3992188
201,Charlie Bartlett,2/22/2008,MGM,Comedy,R,3950294,550180,3950292
202,Then She Found Me,4/25/2008,ThinkFilm,Comedy,R,3735717,520295,3735718
203,Elegy,8/8/2008,Samuel Goldwyn Films,Drama/Musical,R,3577210,498219,3577212
204,Cruising Bar 2,6/27/2008,Alliance Atlantis,Comedy,Not Rated,3554434,495047,3554437
205,The Reader,12/10/2008,Weinstein Co.,Drama/Musical,R,3553578,494927,3553576
206,Deep Sea 3-D,3/3/2006,Warner Bros.,Documentary,G,3550091,494442,3550094
207,Jodhaa Akbar,2/14/2008,UTV Communications,Drama/Musical,Not Rated,3440718,479209,3440721
208,Happy-Go-Lucky,10/10/2008,Miramax,Comedy,R,3310429,461063,3310432
209,Blindness,10/3/2008,Miramax,Thriller/Suspense,R,3073392,428049,3073392
210,The Band's Visit,2/8/2008,Sony Pictures Classics,Comedy,PG-13,3053823,425324,3053826
211,Man on Wire,7/25/2008,Magnolia Pictures,Documentary,PG-13,2942990,409887,2942989
212,Choke,9/26/2008,Fox Searchlight,Comedy,R,2926565,407600,2926568
213,How to Lose Friends & Alienate People,10/3/2008,MGM,Comedy,R,2775593,386573,2775594
214,"Synecdoche, New York",10/24/2008,Sony Pictures Classics,Drama/Musical,R,2705849,376859,2705848
215,Singh is Kinng,8/8/2008,Studio 18,Action/Adventure,Not Rated,2523511,351464,2523512
216,I've Loved You So Long,10/24/2008,Sony Pictures Classics,Drama/Musical,Not Rated,2355979,328131,2355981
217,Redbelt,5/2/2008,Sony Pictures Classics,Action/Adventure,R,2344847,326580,2344844
218,Frozen River,8/1/2008,Sony Pictures Classics,Drama/Musical,R,2309148,321608,2309145
219,The Fall,5/9/2008,Roadside Attractions,Action/Adventure,R,2273751,316678,2273748
220,Transsiberian,7/18/2008,First Look,Thriller/Suspense,R,2203641,306914,2203643
221,Ghajini,12/26/2008,AdLab Films,Thriller/Suspense,Not Rated,2192682,305387,2192679
222,Priceless,3/28/2008,Samuel Goldwyn Films,Comedy,PG-13,2164670,301486,2164669
223,Bee Movie,11/2/2007,Paramount Pictures,Comedy,PG,2112935,294281,2112938
224,The Wackness,7/3/2008,Sony Pictures Classics,Comedy,R,2077046,289282,2077045
225,Rab Ne Bana Di Jodi,12/12/2008,Yash Raj Films,Drama/Musical,Not Rated,2040699,284220,2040700
226,Dans une galaxie pres de chez vous 2,4/18/2008,TVA Films,Comedy,Not Rated,1883999,262395,1883996
227,The Polar Express,11/10/2004,Warner Bros.,Action/Adventure,G,1862997,259470,1862995
228,Roman de Gare,4/25/2008,Samuel Goldwyn Films,Drama/Musical,R,1852764,258045,1852763
229,Henry Poole Is Here,8/15/2008,Overture Films,Comedy,PG,1835293,255612,1835294
230,Son of Rambow: A Home Movie,5/2/2008,Paramount Vantage,Comedy,PG-13,1785505,248678,1785508
231,Roving Mars,1/27/2006,Buena Vista,Documentary,G,1775287,247254,1775284
232,Talento de Barrio,10/10/2008,Maya Releasing,Drama/Musical,R,1667294,232214,1667297
233,The Game Plan,9/28/2007,Buena Vista,Comedy,PG,1608219,223986,1608219
234,Married Life,3/7/2008,Sony Pictures Classics,Drama/Musical,PG-13,1506998,209888,1506996
235,August Rush,11/21/2007,Warner Bros.,Drama/Musical,PG,1490945,207653,1490949
236,Let the Right One In,10/24/2008,Magnolia Pictures,Horror,R,1483912,206673,1483912
237,Bienvenue chez les Ch'tis,7/25/2008,Link Productions Ltd.,Comedy,Not Rated,1470856,204855,1470859
